Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.22,-117.7,1999-05-01,Black Bear,1,0,MALE,ADULT,Highway,1/5/1999,451677,5674248
Glacier National Park,51.46,-117.5,1999-05-25,Black Bear,1,0,UNKNOWN,YOLY,Railway,25/05/1999,465429,5700554
Glacier National Park,51.37,-117.4,1999-05-27,Black Bear,1,0,FEMALE,YOLY,Railway,27/05/1999,469013,5690752
Glacier National Park,51.26,-117.6,1999-06-04,Black Bear,1,0,Unknown,UNKNOWN,Highway,4/6/1999,456596,5679050
Glacier National Park,51.46,-117.5,1999-06-12,Black Bear,2,0,UNKNOWN,YOLY,Highway,12/6/1999,466759,5701310
Glacier National Park,51.33,-117.5,1999-06-19,Mountain Goat,1,0,Unknown,YLY,Highway,19/06/1999,467020,5686129
Glacier National Park,51.38,-117.5,1999-06-23,Black Bear,1,0,UNKNOWN,UNKNOWN,Railway,23/06/1999,468420,5692209
Glacier National Park,51.25,-117.6,1999-06-25,Black Bear,1,0,MALE,ADULT,Highway,25/06/1999,456629,5677924
Glacier National Park,50.47,-117.4,1999-06-26,Black Bear,1,0,MALE,ADULT,Railway,26/06/1999,468920,5590766
Glacier National Park,51.26,-117.6,1999-07-06,Grizzly Bear,1,0,Unknown,UNKNOWN,Highway,6/7/1999,460585,5679385
Glacier National Park,51.43,-117.5,1999-07-09,Black Bear,1,0,UNKNOWN,YOY,Highway,9/7/1999,466869,5697516
Glacier National Park,51.25,-117.6,1999-09-09,Black Bear,1,0,UNKNOWN,ADULT,Highway,9/9/1999,455566,5677586
Glacier National Park,51.25,-117.6,1999-09-09,Black Bear,1,0,MALE,UNKNOWN,Railway,9/9/1999,458746,5678184
Glacier National Park,51.38,-117.4,1999-10-09,Grizzly Bear,1,0,FEMALE,YOY,Highway,9/10/1999,468920,5692209
Glacier National Park,50.47,-117.4,2000-07-15,Black Bear,1,0,MALE,ADULT,Railway,15/07/2000,469000,5590558
Glacier National Park,51.35,-117.5,2000-07-15,Black Bear,1,0,MALE,ADULT,Highway,15/07/2000,462463,5688939
Glacier National Park,51.46,-117.5,2000-08-14,Black Bear,1,0,UNKNOWN,UNKNOWN,Highway,14/08/2000,466596,5701589
Glacier National Park,51.29,-117.5,2001-06-03,Mountain Goat,1,0,Unknown,YLY,Highway,3/6/2001,463990,5682379
Glacier National Park,51.35,-117.4,2001-06-13,Black Bear,1,0,Unknown,UNKNOWN,Highway,13/06/2001,469980,5688409
Glacier National Park,51.38,-117.5,2001-06-27,Black Bear,1,0,UNKNOWN,ADULT,Railway,27/06/2001,467874,5692435
Glacier National Park,51.32,-117.5,2001-07-03,Mountain Goat,1,0,FEMALE,YOLY,Highway,3/7/2001,467100,5685920
Glacier National Park,50.47,-117.4,2001-07-13,Black Bear,1,0,UNKNOWN,UNKNOWN,Railway,13/07/2001,469039,5590558
Glacier National Park,51.35,-117.4,2002-05-16,Black Bear,1,0,MALE,YOY,Railway,16/05/2002,470220,5688509
Glacier National Park,50.47,-117.5,2002-05-19,Black Bear,1,0,MALE,ADULT,Railway,19/05/2002,463724,5590766
Glacier National Park,51.37,-117.5,2002-05-19,Black Bear,1,0,MALE,ADULT,Railway,19/05/2002,468639,5691614
Glacier National Park,51.46,-117.5,2002-06-02,Grizzly Bear,1,0,Unknown,YOY,Highway,2/6/2002,466720,5700709
Glacier National Park,51.45,-117.5,2002-06-12,Grizzly Bear,1,0,Unknown,YOY,Highway,12/6/2002,466770,5699910
Glacier National Park,51.33,-117.5,2002-06-27,Mountain Goat,1,1,FEMALE,ADULT,Highway,27/06/2002,467033,5686169
Glacier National Park,51.33,-117.5,2002-08-03,Black Bear,1,1,Female,ADULT,Highway,3/8/2002,468190,5686549
Glacier National Park,51.33,-117.5,2002-08-04,Black Bear,1,0,FEMALE,UNKNOWN,Highway,4/8/2002,468215,5686336
Glacier National Park,51.48,-117.5,2002-08-06,Black Bear,1,0,Unknown,YLY,Highway,6/8/2002,466615,5703189
Glacier National Park,51.26,-117.6,2002-09-08,Mountain Goat,1,0,FEMALE,YOY,Highway,8/9/2002,459800,5679049
Glacier National Park,51.26,-117.6,2002-10-18,Mountain Goat,1,1,FEMALE,ADULT,Highway,18/10/2002,459800,5679049
Glacier National Park,51.05,-117.9,2004-01-16,Mountain Goat,1,0,UNKNOWN,UNKNOWN,Highway,16/01/2004,434429,5656169
Glacier National Park,51.24,-117.6,2004-06-08,Black Bear,1,0,MALE,ADULT,Highway,8/6/2004,455312,5677172
